Field_ID,fold
MH2O0YH,3
O9TURWL,3
35AFSDD,1
PM05EG9,2
V7PZBCG,1
003GQB5,1
WFQGA56,3
O6JVV7K,4
A6H2141,1
MHDYMRX,4
HLITY46,0
1YFQH0G,1
ISS6LTN,1
MIH9S00,0
JK09XZW,0
881GIR9,1
RBBNFVL,3
R9SP9WA,1
D1SPF9C,1
VXG82HK,1
Z511J4G,3
V3I878I,1
LGGDGP4,0
B5WDTV5,2
X7TWLOC,4
9J8G69F,4
HQ90MHR,2
WZCBW7T,1
081SK6W,1
5Z32WHD,4
AZXDI72,3
B2D3MQ6,0
6HEYVY7,1
MVG3NLB,2
O2X82QH,2
FWQ8J5L,1
MIK14WF,1
4X1V7HB,0
GJY0NG4,3
OQ6HI79,2
9A45Z97,4
W2Q8T4N,1
WV85J5I,4
479FIY9,1
LHZYG5Q,0
PIWU4CS,3
OBH5ITR,0
EWLVTOJ,4
JKK5GDH,1
LD8LK6L,2
QXD8FPD,1
QDY0KZ9,2
9X4XF4C,4
KSF5GDL,1
Z3Z43AD,1
0EGKM00,4
G17C033,1
U8WO23J,2
TXMYIF8,2
VP7TKJZ,3
IG2LSYJ,1
P706TB5,4
N8C2RRU,2
SDLK40N,1
JSXLX6P,3
NZW5H9T,2
V8Q9LR3,3
65KV07T,4
FZLL7EA,1
7G7PKJL,3
PSBBON2,2
G7A4DH9,4
SG524VT,1
0Y3HK56,1
MXBVP83,2
WWERQZ5,2
IVSQV1Q,1
7MTWGHQ,4
EIHWBYP,1
IU5PSBL,2
C9643W0,2
X5DN33F,1
T6NV1RS,3
F2GS6X3,1
ZT0PBD8,1
39CHJHM,1
QEUXXFJ,2
CEA38QS,1
HUHC63V,1
ICM0XVS,1
GPR6PG0,2
DH1B7NJ,0
67W2NF1,1
9UR0MRQ,3
C3RH2VQ,4
6CWNNUW,3
3CWBYMC,4
KMVBUT7,4
MW5QH3U,1
HU1MQT7,1
D9R92LW,4
R9WOP3G,3
LALUNDX,0
C20NUTS,3
B7Z6UZS,2
UQJ424Q,2
BX8RGJG,0
03Y1F7S,1
HFVGKRG,2
SDKPTC5,0
SS3FNAD,1
0UYQLWE,2
WJOBAED,0
FXWYRDW,1
QHYEKOE,4
DGDDH9Z,2
I01NWXD,2
JE946NT,4
FNVW2WM,0
O7ZEC4G,3
8IDDM2Q,2
7ST4TJF,1
V2OQZA9,2
NKUUW8A,4
XVWMLBJ,0
JO1AE58,4
W1RMK7O,0
0J8FZ1S,2
E5TAUCS,2
SHQE00S,0
G3GUYGF,4
YEBAUTR,1
D5DND4P,3
IUBXVV5,0
UAKPL84,2
I8SL7V9,0
UQZEVND,4
RXYUE19,2
Q0SANGO,4
QTP3Q1O,4
KUQ0QHL,2
D6M9N1G,0
PMWVHPQ,3
ZSDMRAP,4
GAO8W67,4
GLUK0MG,3
1CZ23LQ,1
OCC3TFM,3
URYD3R3,0
VTHPSOP,3
GNKIHYF,4
RE3XPUK,0
IZEPC1Y,3
BG08VR8,0
NYNFYVL,3
0G8PCR9,3
C1YYA7E,3
NYHCIJE,4
4557XNE,1
52A7DHU,3
UAKYG16,3
8HRI377,2
QQJOWID,4
C8UKBLX,0
DTCLHNB,0
P5LT5NI,3
QO3R84O,4
UJTZAVO,3
R4D1736,4
UST2XYE,1
TMQEMDI,4
7GGJ7H0,4
H79BG25,0
SE26TL3,1
IMALB6M,4
PK41YOT,4
IW0WOA9,0
SQ2SHTH,2
2W91UWR,4
GOW06N5,0
BHFFHA9,2
JR2AY0N,1
26M73NB,1
5QLHEWH,3
TOYQB0J,2
KHEYXNV,1
989FIA8,3
C66GOFU,1
AX0UVDN,3
8KZTZ5L,3
S0MY852,2
TK5MGO1,1
J3QDFUG,3
MKT0LCD,0
57G9K8X,1
2DNGBME,4
JKAB6K7,0
5SP797N,3
Q2B5FGE,4
J0LMYEY,3
63D1H1W,4
FDXT279,4
LO89BGW,4
HTQ3TCG,0
BU32X2Y,0
LIVRJYT,2
428CQ1G,4
J72Y7JN,0
AFK8ETP,3
LR9JSKZ,1
GZUI7EU,4
GS1FI8I,1
X70GR3S,1
GE5WDO3,2
YT6K608,1
CK88THP,3
79T99DN,4
Z0XKLQ1,0
CQWH6MY,4
TNF1P3Y,0
D38009G,0
4KIUP87,1
499HNZA,3
LZFBHI6,2
0OB3DB4,4
K9TEQEQ,4
Q16XINF,0
GFF1ZO9,2
9NSW2QE,0
WYPNF4M,1
I8VTA62,3
SNPX7HH,1
EV9E7WT,2
0VQCU11,2
D896L2Y,2
QV0GHVY,2
RHY6BJF,0
E6ZEIX2,1
XAW8YXA,1
XJV2CUJ,4
DZ3BGNS,1
DLY798K,3
ZX8WV5Z,4
DXI26S0,2
V7ZC7X0,0
JF1SHYC,2
EUBDDQV,2
MMRTNEP,3
IO7W4ZN,0
TW8U5I2,4
GNCBVMF,0
NTBG91Q,3
7RCNYXL,0
SHBPRMV,4
8JTAAP1,3
V7FZOH2,4
PSPIRZ4,2
SO0X0M4,3
WPRDPOA,3
8FUB31U,4
9WR7V4Y,4
2PN27LA,4
8HCRJGP,0
M1UV5VD,3
B3CCVKR,0
044LFBM,0
913L5MS,2
4KTB7DX,4
4KE7ZYR,3
A7TN9MD,2
2Z98C2I,4
XITUW2R,1
O448R6K,4
KU2HFID,1
VQOTTTD,3
IO33LTY,4
MQZDCD9,3
9MNH58X,1
D4QA7TO,1
0EA3182,2
AIN67VC,3
JJNVO1S,3
P0Y326Q,2
FGQNWWH,0
RILE1DC,3
05XW1GO,1
RSK7CJB,2
RKIC5GQ,2
MZIVL09,0
5DT9FRW,0
1APSIPG,0
6HTJQ1G,1
HS8YEM0,0
P3AHWJ0,1
5WEHXJ7,4
57M8TZW,2
EAFOF2Z,2
HR9XTAJ,0
90W9HUS,3
7UCUB60,4
XPDLZUO,2
U2C1I8Q,1
M0MPDMB,3
RGNXCFB,2
HVNUJD9,4
I6QF1AD,4
O4GEBFW,0
FVQHKLY,0
T0YU1K9,4
OFENDKO,3
2DXCF8N,1
SCQAP2N,0
NX12K27,0
NTMK73U,0
RNV7JGJ,4
UI1PCHF,4
KIZVGS9,1
GRFWXP1,0
6ZO0FM5,2
6YT93ZT,0
BJI32HQ,4
VP1VPFV,0
YZB6B8D,1
30DGLGQ,2
TLZ96J7,3
QSVKSJB,4
QYNNB05,0
1XAE094,2
2S0JI0X,1
SQ5V2OT,4
6B42A8M,3
D2V84QN,0
QGFMZ3W,3
ZBHOAPM,0
GE2O6Y3,2
MDQJ568,4
1VTG9MX,0
E6UD5OS,1
Y9QQNZW,4
FNE9Y1B,4
LQJ65GF,0
FT3VG8R,4
UR8GDJ2,0
G1BX3MZ,2
82YLB7C,1
TJ351XP,0
H1TYBHP,2
UL5XKCB,3
GTLFC6G,2
N2EE9RE,1
Y2VOHH5,4
2T1CLJU,3
G7LZN0T,1
XJ3M64C,3
UH21KBR,4
R8O2OT9,4
SNIQFIH,1
8YM2R3L,3
MUS3T7I,2
0CVTT6O,1
JFDLSYH,1
DWOV6QC,0
BBZJOUM,1
W8QOX9M,4
6GYFDNC,4
D4EUDD4,2
VP2WF97,1
BM7EY73,4
FCA6DGF,4
DZWE37H,0
AFZPZVF,4
IPUO4E0,0
KIMSLH9,1
EBF70VU,3
QT5YP2B,0
3ESBAJA,3
I3ZJ86X,4
4J4P3LC,4
7XOD58M,1
0EVPTT3,2
KBI98AA,4
U31H7TI,4
J3QJ2B6,1
NTJ2JC0,3
J3GOGCP,1
Z1SVV99,0
EROQBE0,0
P5UUQHX,1
1ZBJC4K,0
RI4GYED,0
I3TG9OY,0
XPGKGEJ,0
9UICMSS,4
IGBGX7Z,3
TY48COF,4
D8WCHS5,1
2PNNAJ0,0
AHJ21TN,1
HO618GE,0
KI6J6AB,2
ZVMNVJ3,4
8WW6Q3S,1
IKRBV6T,4
VG8KOBJ,2
D6QXQIT,3
9VQSYQD,2
445AC87,1
XK7201N,1
YJ9HMCH,2
U9Q82RW,0
B3QNA5M,2
T62S761,0
7P5DFIB,3
7TY1QE7,1
22I1EVT,2
D012AKE,1
WO4CU1R,3
XJ0TWJW,4
YZX5IN2,2
HVA8XS5,3
TCM3A8N,2
4YRNT6T,3
NB39KA5,0
NTWQW33,2
0MCD74N,1
6JGY5II,3
UNQHRON,2
FRT968H,3
YB4737C,0
I5W41U2,3
4ZG6SEF,1
H6DTUSI,4
T0O4W37,2
6HIA4Q8,3
LJSP4CJ,3
H7IA99X,0
6UY0G8C,1
UKAEQBT,0
ISJUYC2,0
KYSCQZV,0
8155QOR,0
FPZF2X7,0
8T9PQ59,1
WKUB0CU,4
IY7RH5Z,0
HF5AMKB,2
A4E5D1G,0
1QI3KNI,0
UDC36FJ,3
21NB4QI,3
9QF4HRV,4
JJEAL7L,1
E04A9Z3,2
RLFCGW6,2
HD0C7PY,0
0QEATF9,1
3OMFEFM,2
41XVVPW,3
U9IGQSV,3
AVJHBPI,4
9H47CIW,3
OYNLL9K,4
VCRDVXH,4
PSK52FF,2
7F5AOPX,4
NVU2I0K,1
1OO8BJ2,3
0WP3OCV,1
C1PXDHX,2
2LPG4YC,1
61DXU7B,1
J90KVPB,3
YQ746ZZ,1
0YTIGAM,4
8J3ZFNP,0
MJD3XP2,4
2DLDZHU,3
0BMLPKV,4
LZTB86A,1
T5WPSJP,3
NBGKZ1T,0
R5LVVW6,3
S4LL70S,4
PKU906G,4
HE9IBV9,1
UW1LX7K,0
74ALOL2,0
M2V29TP,3
JFXVUIH,4
HW8CWC0,4
NUXIHIN,2
9ARLMCM,4
QADOTMJ,3
S8Q1ADT,4
P7D8OW6,0
9C0HM7M,3
CDZRFPU,2
W11OMRN,4
YSJWU6W,0
42FJQCE,3
748GTKA,0
HVKDXPB,2
7P2Q7ZD,1
B1FJBBU,4
4CQ6BYU,2
MKQ4NV4,3
3D51LVT,1
RV2FT87,1
558NCKR,0
0ZA6DUZ,0
JQEH9K5,1
LA9SHKB,1
02C6JZZ,0
X5XWX9V,4
Q8NMO4S,4
6FKG23C,3
7TOPOSP,0
NAKTK3C,1
J6PO81M,3
MUCC66V,2
ZW318FZ,3
OIY1Q7Y,3
VKXGAU9,0
ZVY73A1,0
Q9H36AE,3
RFADWDL,2
T13RVHP,4
SZ5T2DI,0
6YLD1A6,3
SPXDYVO,4
TB3V5B3,0
CYDA57A,4
Q9I51CU,2
MPUWLCZ,3
U505LJD,1
FGYHUQX,0
HHR327B,4
4LF7IHN,0
GCVSJJD,4
3H5WZXT,1
HFYLSF8,0
MMQE4NU,2
WU0YZI2,0
QS7VZZC,2
9T5F13C,3
0MIQWM9,1
1GYGJ2F,3
EJAVMNQ,2
FS2TLI7,0
MRMYTIK,1
LAVSG05,1
1OX5P8G,2
HAICDH5,2
U71Y401,3
A6PHLW3,3
5ZXLUZD,4
5VWDKOT,0
T5DEGBO,4
MNKPZKQ,4
0VVZPV9,0
9MKN2WA,4
7TDZ98S,0
9S3IRT2,3
LX9S69Y,1
IHYIQC1,4
EVIWCHS,2
NMH7LEC,0
7UO1B6J,4
J7MI9IV,4
WAAZQ3A,2
C95MO3X,2
T9RK60O,3
0RTX90Q,2
ZP7VMZG,1
1AS3WRS,3
4IZQ1UA,1
S16EHA8,1
OQJPAEY,1
X2C27P8,3
ECRAHAX,2
3HG8GMP,3
EJIH51Z,4
ZPD440R,3
U2056I4,0
Z0UGZUX,2
CY29VYP,4
T4U02QT,3
300KJJL,3
JTR14YS,2
SC6063E,1
U5WVUF1,0
5F64AB5,3
W2Z3JBW,2
4IJ8ESE,3
Z7VPO24,4
9P72KZ4,3
L72SB26,3
MEO87GJ,0
SFV9LSG,4
K3O456I,1
L77360S,3
94TMHO2,4
UBEF2YN,1
SBYFSBU,0
41YH67V,4
JCZF37X,4
JXIVZVW,1
8ZQ4B5R,1
KDKR7EL,0
S8OKS94,2
HYW5A9I,1
NDPCOC2,2
QH4EQE3,3
3RSX1ZQ,0
DL7DC8P,4
E6IMABN,3
UZ1C7YX,0
LIT66TF,3
SMQV7XO,3
HXGOWQD,2
H188WLB,0
4O45UMO,0
ZYZS6E1,2
TADPR26,1
Y707C13,4
QHI9NMP,2
QWOLK2O,4
YKWPM6R,0
1CKVUBN,3
HYGETPG,1
HI8LUS9,2
EC5GQPE,0
ROVRC2P,3
Y4SGU6N,3
T723LCJ,0
WV7IICI,2
3JO79QO,0
MYJ93MZ,0
AVX5V30,2
A36T25S,1
3XCM4SN,3
2L5RLP5,2
EV5MPB0,3
1CC9077,0
P2Q8B8E,3
NLRB0KA,2
ZPEZT65,3
QO29LPE,1
WF4806D,4
ABXFN8B,2
2M811A5,4
0B3XPZZ,3
A1POAKR,1
RN6WJRO,4
RRLNMGO,4
6JUN0JP,3
CFK6Z08,2
ATNP7ZB,3
38CSVS1,4
NVQ1E6U,3
XGOGRB8,3
0KZ4FHH,4
J6M20X0,1
5OG4E5X,3
2OKWGK7,0
8IDTQDZ,4
KU1ALUF,0
QI1RNKG,3
VILC1V0,2
LYCWTBR,1
IK58Z94,3
NVV2075,1
U9VNU5T,3
LFUCULC,4
DOBGPVE,3
NW44ZIL,3
RDDIINS,0
8B18HX0,2
B1BCI7E,2
VRGS6MJ,4
VGVDBEY,3
OTUOSYY,3
9C5GPDH,0
SHHWLP3,0
41GYOE4,0
UG6DTZX,3
3XBW5YI,3
P7AZFJW,2
UDP0CR3,0
NSZW9YF,3
FMHBDBZ,2
335VZJU,4
XTOGH48,3
G6058T9,1
M4Z6NPB,4
L2199YS,0
THSAJ1V,0
WCJE5US,2
N32O6GT,2
NOCCWL1,0
F5D3RRN,2
3UY5O1A,1
830ROQ7,1
MBMRZQZ,1
3SVGLDM,2
PGX6I9M,2
JFVZ4V4,1
31WBJL1,0
BMN8NV5,3
1GZVWML,4
I9YGV3U,0
XYMFIEH,1
5E3BHEK,4
9DTG2MM,2
BUCMMA3,3
NF69N87,1
5NQEN2A,3
VZS1P77,0
ZSVNPCZ,3
2GVUP1Q,0
2KFCDYE,2
VAOW0QQ,4
6LMV94L,1
PRGQO6D,0
RQ9B6O0,0
PV7Q6NA,3
NLWP5LI,4
IQ7EG2V,1
Z8WS278,2
8FW53SQ,2
TQI6DS8,0
ZCJHD8L,1
Z9R6HGG,0
K7L9NK9,4
EH81J2O,2
85457C0,3
NX1N1LP,0
1W6HNNS,2
PLSAQXH,4
LVZSN1W,2
SCURT5K,3
VK9349A,1
IOLSQGE,2
L25SYJO,1
72XJWG1,0
ASGJQ2P,4
1VUEWFQ,1
ZS6MYPT,0
RTB7RNA,2
KFGTSHX,4
8EHQ4BM,4
BIGKR72,0
2GHXE12,2
1NJ05H1,0
5063C6O,2
QRQZ7AA,2
XEYW5TM,3
CDTFAZE,2
XDT9015,4
4VUW982,3
WM358E6,3
3PD9EOJ,0
TL8G19K,0
KZ0DLGG,2
J992BZ6,0
ODUX4FS,1
XAQYW3K,0
G5OP39H,3
B5WEJC1,3
SVXZ4YS,3
G00S91S,3
FWS526U,3
8RJH9KI,1
DJJ4CYW,0
UGG9QSJ,4
RPUYJYU,1
1M3PV84,2
KSEVJ99,2
4SOJFXP,3
8TWXHT6,4
UR1UGP4,4
EOT30MR,1
IDTJSHD,2
71EIR0I,0
KMZM7LV,4
4EDE3C0,4
8HN0QZR,3
3ZBXZNK,0
R64O6N6,2
F0WD293,2
UX21KGR,3
GT2D57X,0
627J1P2,0
K9QW79F,0
HL14EI7,1
CVPG0CZ,4
H0LAGTT,3
GRAFWJ7,1
ENHV2ZD,2
NOLZZW1,0
N9EPYKU,1
HXIERVL,3
TWU13Z5,1
9BFO3ZX,1
YFB3FDX,0
U37Q1W0,3
80QCEIG,4
1GCNNUN,0
000OKL7,3
TMSI47F,0
VEKINJH,2
GS1LW7X,3
LEKVYYZ,1
6NEM59Q,2
9ZP9HNY,1
XUSKOOV,4
RXFX8SC,3
7FYPOFS,3
MYJWUCA,3
ZF9ODQ9,0
T22IUOA,3
SXVY58T,0
3NE41UH,2
43MHR96,0
51SEL1D,2
CFROBVW,0
FBBXMGJ,2
0Y5AXYW,4
SFZ3JDU,1
QEQWT2C,1
IPBOO03,0
UYN7TSK,0
L0UCD6X,2
PMCYGGO,2
6Q2JZ6K,4
HTGXI6J,2
GR6S15B,0
239P3RJ,4
JYH6PYS,2
0ZGWGDO,3
0P49THJ,0
XD3ZYW8,1
RHSPZTR,4
OZNH7CC,2
GUCSYRX,1
8FMKGHF,0
VNYIKNU,4
AJSN9P9,2
7X5SEJG,1
RP9CS35,3
1J9D59U,4
4RNRETQ,3
BHVAGU9,4
03XDB3Z,4
NCCBBXG,4
1OD5U8P,0
MASF003,1
77JLVOK,4
6CFRCUK,3
2WPABTZ,2
3JCRZ91,1
787OPB3,2
FE7COW0,0
HRJFQ5Q,0
4M0LE2Q,4
XGF7UUL,2
IQGP1I3,0
DKFSFIN,1
LC3KD7V,1
LORZ2QY,3
N4A0HM2,4
GK1JTNU,4
XE2Z09O,4
VC5QO70,4
VV1ANX6,0
50PC2QB,1
VIT8XGR,3
X785X8J,3
YFET8IX,0
MPZX8HW,4
WJ22QDG,0
2778RSU,2
MTV9RCT,2
ZZC6MMD,3
IO0ZX1C,4
I71JCIL,1
AAKLZ5X,0
5VDPUM4,3
Q30E2N2,3
029ALJR,4
UBYUSQM,1
49YVAQI,3
7YRZ7Y9,1
G9ASSO0,2
M5Q8HEA,1
WR4A92O,1
KCUJJNZ,0
Q9DE4P3,1
9XNO5GQ,1
K5I1HAS,4
WSQ1L1J,3
X51G199,0
317EOZO,1
B39N9G8,4
MLJDXBI,2
BE5TCGC,4
1H7CWSU,2
GE1UMDJ,2
PBKRDAY,2
V36OUCZ,1
QTIQP4O,1
4T2N53O,3
N8ACZV2,4
0RFWU2U,2
8MKLX9O,1
G78KYNZ,0
1G9PLBE,2
CN25N9V,3
T64Y5X3,1
I74HNZB,3
MIO9K1M,4
WSCHIS1,3
PPRYE0H,4
6DCPZN6,2
YJ9RCII,2
MZEELE1,1
DBCOIQK,1
J0595XT,3
10MKWG2,2
606MEI6,0
RD7OEUO,1
2MRA303,2
7M4J6PU,4
CAP7BFO,4
6E166H1,2
19E9B6G,3
GLT35K1,3
9XQ0T0A,2
LYLTVC7,3
X5KTUSE,4
P6LZAD9,2
IKTDXKD,2
UF5SRA3,0
EKG67QH,0
5IHX51J,4
7YP6EKN,1
DKKL1L3,3
HOTN4M9,2
ZSUTT7A,2
2U2K0WF,1
INBC7U3,3
JN1Y22Q,3
DM014QV,4
PBW46UJ,4
46QFDF4,4
8TK2P37,4
3S94G36,0
M8P03AN,4
25HNIBX,0
8IG1P4R,0
1H1ORVM,1
TR52A86,1
P2Q4PN6,3
DFB367J,2
59XZ9KI,3
4XC9CN9,3
4TP3U0Y,2
8UO8ZAU,1
H434LH2,0
1KVRXY8,1
UUI7CW6,2
TTD9YGD,3
CDZ9EXV,3
MM74MJA,4
074VFWE,4
21HFWXG,2
AWWP2AH,3
2K8M02G,4
NDWE6Z0,0
SUWN1OV,4
0G4H52F,2
UDK827T,1
83Q4ROD,3
8S6SCEG,3
42G2JCE,2
P6SSHE5,3
G646J94,0
U23NFXB,3
GSTLW5J,0
WAD8YCF,3
Z0EXRMA,4
4T6J1Q7,4
SHV4AXH,2
5UOPR0G,1
PK2Q853,1
DLKD1UU,1
65E3X6W,1
HW6QP4D,0
Q4R9IH9,2
BA4LXS3,2
IZUEBD9,2
DSD5ZKS,1
757EXCV,1
UYBOD7C,2
F8A0EJM,1
0M9Z0WD,1
MGKEN3V,0
XCKDYL1,2
PKKUD87,3
I15H9VW,0
8AJOJJ6,0
27HTODX,1
8SDZV4M,4
J589DPJ,1
OYENPP2,0
3FEB5N6,3
FKZZIU9,2
BKXLIBX,3
K0SYVJH,2
CO0N1II,1
1SG82QZ,1
D6OIFF1,0
X5BHLB0,4
73Z3T9U,0
B8BTML2,1
ESWOAC2,0
3P8NYRI,2
BRMLXD2,3
N93HG02,2
LMWLNPI,1
MV0OY06,3
EIO1YS8,3
8MD0N0E,3
FRWP8QM,2
H86JFKG,3
GNF8HVS,3
JSU7S9E,2
1EB0OIS,4
31N2GV7,0
LSQUS5X,3
XSZDCG3,1
GW6ZVPQ,0
1I3L8QM,1
1HSSFUG,4
1Q0BE5M,1
12V48PY,3
CU4WIYJ,3
N9VPPJA,0
F0JQ94J,4
YADFNCZ,2
MX0EC49,2
4F6VNQJ,1
89VVBJU,0
23QB8HE,3
7NDXOTV,2
3EVKEIB,2
NHAFH4J,4
96MAQM7,2
3RDW4QE,1
WLS1NVU,1
TLS4U55,2
IUSWPVE,2
ECVK767,1
ME55BR9,3
DPMMLDM,2
9VCSF10,4
52NLOWG,0
YCYOHO7,3
Z3SQHF0,4
QUQBAOU,1
2KP7MD7,2
WYQ21JO,3
M34NUB5,3
PK9JA9Z,3
KW4BPJE,2
5X7DSLB,2
WQWS8W6,0
LZQPPZT,1
Y557JWN,0
UIRJIMS,3
F16JGEE,4
I0UG2U4,3
HBU4PB4,1
Z8XTRC7,0
RTCIBSJ,3
K2NFXHF,0
QHNHY7D,4
1NICK53,0
VCIIFL3,3
GUI95ET,4
OIZPVNB,0
R89H0V7,2
9YPIKZ5,4
PA2PLVJ,3
20CIZWJ,0
BV0QQ6A,0
27480UW,1
5ZGVKV7,2
R6WC3PK,2
BKWGKCN,1
GJ8HAZC,2
DBQIWUY,0
Z901SLD,4
JLBT5T8,1
MH6GC2A,4
7HLRMND,0
QFHHM01,3
VEFMGC9,3
UWIM8GY,3
CR9ZE6X,3
SEAWWLQ,0
V5M86PQ,3
NG8ES0E,1
XN06UZH,3
5533GKU,1
KXYSA62,4
DESXKEX,4
D2PWNOU,4
ISDIM9J,3
RDEU0AE,4
3YHYIXB,0
QT9EECZ,2
UCC0ZTP,4
URGD8GH,2
OA0F652,3
62KQEE4,4
GP3K5UY,0
DX8VWDV,2
O31S3T2,3
VRIIFKH,4
P1QIHL0,0
WLI8CLX,3
FITQCEO,4
4N2VHIJ,0
1NX1ZO8,2
EDHYJQ8,0
GH64RVN,1
CM83H2G,4
8OD2LIC,2
FO8FOQR,3
6J63MZB,2
QS16KJC,0
14GMA6Z,1
FLCWC23,0
8CVIQJ4,4
6TVB4H0,1
JXRV1XO,2
Y1DGBXR,4
O8LMI2N,0
FM54C7Z,3
569LQJC,1
0UAPTDS,3
KLKXUB0,0
8GGUP3Y,2
S462QPQ,3
MRTOZQD,1
E8A9DX6,2
8YB2RPV,2
AJR1JV8,2
E3RIMXW,2
J9EBGD1,4
PDAKL17,0
SEUG13S,3
9DUWO7T,0
5HRP0LB,3
J1RZNZU,0
UM1OY58,4
09B11R8,0
8RB970R,2
42IOTIS,0
V3EIGC1,1
AT2FKFF,3
VPBSQPG,0
FWH418C,0
QY57FGY,4
Y22HKI8,1
XTOR1HT,3
MTNEYI9,1
YDD751F,4
5JZHP0X,3
T7M1XTR,4
6M10DUT,1
HJQPXJE,0
VQZEKQI,4
4IWY6YW,4
ZTST55B,3
B5U5SWZ,3
36Y1Z39,2
WAT99IS,4
B994CP5,1
06FI5XR,3
ZWQQ9HU,1
4BOBSTA,1
DLEHU17,4
LQ5SF2V,4
0O0G83M,0
URIFPAV,2
P82M2XK,1
IT6G74U,0
UW8IFPH,1
WP9UPIS,1
JO8S3HR,0
EPC3ZI7,3
E1R8CR1,3
JRJGRK0,2
SV99T7F,1
IIAR6DJ,4
YRZLXWJ,0
84YX025,1
63TQV9P,0
594KOAJ,4
C5SR5L2,3
JSMSIP4,3
EZP4FNR,3
DEJ2F2M,1
JEAWN8K,2
2KLAIES,1
4P9JXZS,1
LKZ2HYC,2
PUVKPQX,1
QHAA3IR,0
D0Y761K,0
ZD60Y80,0
QOQNOXC,2
PXMVA76,1
I3YD04O,0
2VTTS34,4
HLX38RZ,1
LJJHNUW,1
8UTYBNL,2
NQ5FFN5,0
S87QJ80,1
DAR9SBL,3
IE0D87O,1
HRPNUJR,4
1DF46JA,2
ILPA6YE,4
M1AIKYN,0
1XG9YAZ,2
SJVUO2M,4
EC28FR3,4
T4J2NQF,4
XOGCAXY,2
XE2QGUS,0
CU0ISXN,3
5DI574B,3
A9UEX32,0
LJ6HZ82,1
M82B4V3,4
ZJVWIGD,3
SL2B0MI,2
DWFYOF0,2
6Q8HK7Y,2
9U4TJRM,3
REYCNSY,2
VBSDK7Y,2
KNH8ZWZ,2
BN6K7ZJ,1
CZDEH0F,2
GEMX96Y,4
HJH5K14,1
78J0X8B,4
53AZA8A,0
U59CM1W,3
ISROD37,1
94PLMHG,3
8WD5SB6,0
I1E2RNP,3
BK0GR1Q,0
BRC5NZL,0
I2Y4O0P,4
RI0UGST,1
ZQZNTBF,1
FXNCDV3,4
KXWF2I4,0
JWQCOA7,1
9LYRD0X,2
LFTLT7Z,1
OZZUZ5J,0
ADZ4MJ0,1
G7C4VGS,4
BXVV5MV,4
81RLYB6,3
I3QAAVG,2
195DRPZ,2
4K19KQW,2
SXT2RSN,2
