,0
0,when a young councilor says that the youth and leaders of tomorrow think that this is just a myth but some young people like lusubilo mwonde are fulfilling this not only by pretending that they will but by leading the way because it is time for them. Chisale has come out and been arrested again. He has stopped the parliament. He has changed a lot. He has a vision. Please let me know. I am a hopeful. I am a family of five children and I am the fourth born. I come from the village of the same family. What is your education? I did my primary education in private school in Mzuzu and in high school at Phwezi Boys' Rumphi District. I have a diploma in accounting and am currently studying for a degree. ri and chartered accounting at malawi college of accountancy mca how did you get involved in politics from a young age i have been in leadership positions this is one of the things that encouraged me to win elections but the main thing that made me run for council was because I wanted to give people a chance to be able to express their feelings for the promotion of democracy and development Councilor when I'm not working as a councilor I do business sometimes I'm at school where I do my degree work in addition I have an organization that I I called with my friends the center for participatory democracy that promotes democracy and what you have achieved. I helped make the road construction work in the area a long time ago. The roads have been unpaved for a long time. I also helped traders to start building brick shops and stop building timber or roads. in parliament I have also found that this work has helped me to change my perspective and meet different people who teach me a lot of things.
1,"mcp is not satisfied with the registration of the malawi congress party mcp chart even though the second phase of the electoral roll has gone well compared to the first As the registration process progresses in the second phase, they have fulfilled their promises. of all the people who needed to register are the ones who have registered which has led the secretary of mcp maurice munthali to ask the mec to come back to the districts there is a laugh here we have to get really close to the number of people we had to register but This is a clear indication that many people have not registered so mec should go back to the states said in a statement the author said in a democratic right to leave even one person it is a matter of concern that Voter general of the national initiative for civic education nice trust ollen mwalubunju said things in the second phase have changed a lot compared to the first phase there is a big change because in the first phase we are talking about people but now we are talking about people in every society this means things are changing. on the idea of ​​going back to the districts where the census has already taken place, he said it was important to wait for the mec to see how things were going in other districts according to the mec's letter signed by the election commissioner sam alfandika among all registered voters The second is that of women and men. Ansah said things have changed dramatically in this phase compared to the first phase in Kasungu Dedza and Salima districts. ""The MEC has not yet made a decision on the issue of a return to the government in the past,"" said Ansah."
2,"The Network of Older Persons Organization (AP)He called on the government and agencies to provide better information on covid messages so that older persons can be reached with information on effective prevention measures.This is a serious threat to covid disease for these people, ""said Kavala."
3,"extremist politics are not uncommon to hear that politicians have resorted to violence during a traditional ceremony on Sunday. to review genset deal govt moves to audit firearms helpers in the middle were arrested for questioning the people said they had a gift from the hill but failed to deliver due to other problems this happens a month later there was chaos at the funeral of hope hope in Rumphi district When he gave a chance to Chilima and the leader of the opposition party Lazarus was raised to address the Guban gonapamuhanya rally there have been political upheavals for two years in a row instead of mopit. George Phiri Phiri, a political scientist at the University of Livingstonia University, said: ""The biggest problem comes because the organizers are giving a big part to the politics of the hill. In Zambia, where politicians are not empowered, he said this helps to ensure that there is no competition and protests between traditional parties to ensure that the event is in their hands and not to give it to politicians. He said another problem arises when politicians play a key role in providing such support. ""Let's get rid of politics everywhere because it is detrimental to our culture. Let's separate these things,"" said Pastor Macdonald Sembereka, one of the leaders who organized the Ayao Stadium. He said the problem was that he wanted to show off. He said the politicians were involved in the incident to the point of destroying traditional customs. This practice did not help our culture. We urge them not to take advantage of the opportunity to advertise on these ceremonies. He said the politicians needed to be tolerant at such times and gave the example of a retired leader. ""The nationalist Joyce Joyce Banda, who is not a member of Chiyao, has no interest in us. We just need to know that culture is bigger than politics and that politics needs to be governed by culture,"" said the party chairman. for gawa undi they do not allow them to do so phiri said to prevent politicians from disturbing their culture the group meets for gawa undi only there is nothing wrong with inviting politicians but it is important to establish rules to follow when they arrive at said Ero Phiri and his grandmother, an old man, Gondwe, who is organizing the Tumban gonapamuhanya ceremony, which has been plagued by political upheavals, said his party has now put in place policies that the politicians follow to prevent unrest. He said his party had told the politicians that when they went to a sex festival they should just watch and not get involved in politics."
4,It is not uncommon for a police officer to be in a state of shock. It is not uncommon for a police officer to be in a car in a state of disrepair.
5,"A misunderstanding has erupted between the ringleaders and the district administration over the ringleader's school building which Vale logistics company demolished, according to the secretary of the ringleading school committee Allan Gaviya. Vale logistics company demolished a teacher's house at a ring school because it was located on a railway crossing from Mozambique. He left and was rebuilt. The speaker stopped the parliament and climbed up to fulfill his promises. He said the company had promised to pay the locals K1. million to build another house in another area which the locals refused saying the money was not enough to build another modern house like the one that was demolished which was a gift to the locals from the european union after the company promised to give k12 Million for the construction of another house as they hoped that the money would be enough to build two modern teachers' houses instead of one. The locals were shocked to see that the money was given to the dc office who came to build the house and the ringleaders were not satisfied with the house. The Mwanza government has said that he and his fellow councilors when they visited the house were disappointed with the construction of the house and were dissatisfied with the construction. He said that he had written a letter to the government. The letter was still unanswered and the flaws in the house have not been corrected in response to this issue. oma wa mwanza gift lappozo has admitted that it is true that the contractor has fled after an unsatisfactory work at the end of the project but the boss said his office is currently reviewing the contract with the contractor before finding a replacement. He said the misunderstanding between his office and the ringleaders was due to the ignorance of the governor's office in dealing with such matters in the community and because the people did not want to hear the explanation given by the dc office on the matter."
6,"st james chilomoni choir celebrates years old writer sylvester custom image st james chilomoni church in blantyre st james chilomoni parish choir in the archdiocese of blantyre has thanked its members who have been serving in the choir for a long time for their dedication to promoting music in The choir chairman of the ezekiel lokote choir spoke at the Eucharistic Sacrifice to thank God that the choir has celebrated its 40th anniversary. To thank our members for the work they have done in ensuring that the choir has been present for the past few years, some of these members have been singing in the choir for years, which is a source of great joy. One of the many who has served in the choir for many years, Ms. Betti Banda said they started the choir. It's been a few years so far that their religious life has changed. I started this choir at the age of 30 and I have sung in the choir for 30 years which is very rewarding in my spiritual life because as the choir grows I am also growing spiritually ""said Ms. Banda Choir St james. the head of the catholic church in the world pope john paul II who visited this country in the year it was founded in the year"
7,"businesswoman injured in bt titha leaves for years in excruciating pain to walk she has to hold a stick she can't sleep on her face but side or back life of peace is over she says she killed her future leaves leaves pain in her home she says this is because of a scar on her right knee Blantyre city rangers who allegedly plotted to seize her business and take her to jail after she was stabbed to death by a machete. injuring her with a machete leaves soon after the death of her husband in her she started a candy bar to take care of her family of two children at her shopping mall which is said to be in cold storage near kamuzu stadium in the city as usual on The accident was lit on a roadblock near the cold storage area where there was a railroad car so I put my business near the road that ran over the railway line so that I could get rid of the water before entering the cold storage, ""said the leaves as I went to pick up the goods. There was a candy bar in the car and he got out and took a basin of some candy and grabbed me. and I just found out I was in the hospital bed at queens around 2pm he said he also realized that the k4 he was wearing on his blanket was not the money I was going to send to my grandma to dedz The grandmother's grandmother also relied on me for help. She said that in the event of this, the woman was groaning in pain at home. The gene can no longer live. Now it has become a problem. Blantyre council councilor Anthony Kasunda says he has heard about the incident but is investigating whether it was his staff ""We are not there,"" he said. The day and the school supplies kill me in the future when we eat then I have a gene with them the money ended up in the hospital doing something I need to rely on the woman to talk to her at her house"
8,"Members of Parliament complain about coupon distribution The government's decision to distribute coupons for the purchase of cheap agricultural inputs in the subsidy program has been met with mixed reactions from members of parliament and other Malawians. The Tavani constituency has found that the government has decided to distribute the coupons. In the southern region, people have a different view, especially considering that the rains are on the horizon in all regions escom in free for all fuel scam wait gets longer secrecy over party funders last Thursday there was chaos in parliament in lilongwe as councilors demanded clarification from the government. Coupons in the south, the issue has grown in the House of Representatives and in the Coupon, Harry Mkandawire. In the south, when the rains have started in many districts, there are a lot of questions that need to be clarified, ""said Kandawire. Gondwe said the first decision to distribute coupons in the south came on the assumption that rainfall usually starts in the region when there is no debt but as we know every year the rains start in the south when it comes because we decided to start there. Civil Society Agriculture Network Network cisanet Tamani Nkhono Mvula said although it is common practice to distribute coupons in the south, c He said the government had delayed everything in the process so there was no need to follow the past but to find ways to adapt to the current situation. The government was not well prepared for the process. Somehow we could understand that there were financial problems but they knew this long ago and now they have to have a way. He said what the government would have done was to expel the coupons to reach all areas so that when the rains started, farmers would not be surrounded for a long time. What do they think because the economic crisis is over and they would have made coupons available sooner and people would receive all the regions soon. ""Tomorrow may be a real problem because many farmers depend on subsidies and in areas where people are cultivating more, the rains have already fallen but they are not in the south,"" he said. ""It's already raining and people are just waiting to plant,"" he said. When will the others arrive and how many will come? said Lundu paramount chief kyungu from Karonga."
9,"The Department of Climate Change and Meteorological Services (DSTM) has been experiencing heavy rains for several days in a row. According to a report on weather conditions last year in some areas, the department said heavy rains would be falling across the country for about three weeks from last Thursday due to drought. In January, most people are expecting a warm afternoon at this time, the department said in a statement. The department's chief executive officer Jolam Nkhokwe said in recent days rain had been tested in the central region. Ellen Kululanga said this was not surprising because in the southern part of the rainy season, it was not uncommon because it was a typhoon. Rainfall is severe in the southern part of the country as it is in the southern part of the north african region. Agriculture developers in various districts have confirmed to the national newspaper that the tobacco plant has destroyed many crops in various areas, including the Blantyre add aggrey kamanga and agricultural development workers in Machinga district. who said the rains had stopped and farmers were worried"
